24-10-16 12:34:55:950 [restartedMain] INFO  c.h.journalApp.JournalApplication - Starting JournalApplication using Java 17.0.11 with PID 9864 (C:\Users\hytej\Desktop\Projects\journalApp\target\classes started by hytej in C:\Users\hytej\Desktop\Projects\journalApp)
24-10-16 12:34:55:956 [restartedMain] INFO  c.h.journalApp.JournalApplication - The following 1 profile is active: "development"
24-10-16 12:34:56:022 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
24-10-16 12:34:56:023 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
24-10-16 12:34:56:866 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
24-10-16 12:34:56:941 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 69 ms. Found 2 MongoDB repository interfaces.
24-10-16 12:34:57:568 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
24-10-16 12:34:57:581 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
24-10-16 12:34:57:584 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
24-10-16 12:34:57:585 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.30]
24-10-16 12:34:57:640 [restartedMain] INFO  o.a.c.c.C.[.[localhost].[/journal] - Initializing Spring embedded WebApplicationContext
24-10-16 12:34:57:640 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1615 ms
24-10-16 12:34:57:867 [cluster-ClusterId{value='670f96d1d7cd1223a8c85777', description='Cluster0'}-srv-cluster0.rdme7.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-00.rdme7.mongodb.net:27017 to client view of cluster
